RoadID keys statistics:
* total number of keys: 1098
* number of different keys: 523
* distribution: 
key 162652090 appeared 0.18215% of times.
key 139339331 appeared 0.09107% of times.
key 120788284 appeared 0.09107% of times.
key 120495423 appeared 0.09107% of times.
key 162586531 appeared 0.09107% of times.
key 162586532 appeared 0.09107% of times.
key 5168726 appeared 0.09107% of times.
key 121782619 appeared 0.09107% of times.
key 120495408 appeared 0.09107% of times.
key 282201844 appeared 0.09107% of times.
key 190408048 appeared 0.09107% of times.
key 42488995 appeared 0.45537% of times.
key 160074660 appeared 0.09107% of times.
key 234194885 appeared 0.09107% of times.
key 105149557 appeared 0.18215% of times.
key 35028004 appeared 0.09107% of times.
key 46033034 appeared 0.09107% of times.
key 190408044 appeared 0.09107% of times.
key 190408047 appeared 0.09107% of times.
key 34649127 appeared 0.09107% of times.
key 105149565 appeared 0.09107% of times.
key 128489875 appeared 0.18215% of times.
key 26428334 appeared 0.09107% of times.
key 26391507 appeared 0.09107% of times.
key 121061745 appeared 0.09107% of times.
key 205056626 appeared 0.09107% of times.
key 171860081 appeared 0.09107% of times.
key 240893963 appeared 0.09107% of times.
key 240893962 appeared 0.09107% of times.
key 26403777 appeared 0.09107% of times.
key 240812045 appeared 0.09107% of times.
key 27081674 appeared 0.09107% of times.
key 128009722 appeared 0.27322% of times.
key 240893959 appeared 0.18215% of times.
key 136973898 appeared 0.09107% of times.
key 174142467 appeared 0.09107% of times.
key 24476438 appeared 0.09107% of times.
key 30838709 appeared 0.09107% of times.
key 172852266 appeared 0.09107% of times.
key 227131361 appeared 0.18215% of times.
key 114639038 appeared 0.09107% of times.
key 103253067 appeared 0.09107% of times.
key 242727942 appeared 0.18215% of times.
key 165628845 appeared 0.09107% of times.
key 121510221 appeared 0.09107% of times.
key 242945039 appeared 0.09107% of times.
key 243551472 appeared 0.09107% of times.
key 29235145 appeared 0.09107% of times.
key 42398961 appeared 0.27322% of times.
key 136964688 appeared 0.09107% of times.
key 4928048 appeared 0.09107% of times.
key 26812185 appeared 0.18215% of times.
key 209720833 appeared 0.63752% of times.
key 58867974 appeared 0.09107% of times.
key 165628753 appeared 0.09107% of times.
key 146696753 appeared 0.09107% of times.
key 183835747 appeared 0.09107% of times.
key 234962079 appeared 0.27322% of times.
key 234962080 appeared 0.09107% of times.
key 42660904 appeared 0.18215% of times.
key 169688248 appeared 0.09107% of times.
key 159956770 appeared 0.09107% of times.
key 165628789 appeared 0.09107% of times.
key 29314837 appeared 0.09107% of times.
key 29314829 appeared 0.09107% of times.
key 26812207 appeared 0.09107% of times.
key 5218038 appeared 0.09107% of times.
key 240227472 appeared 0.09107% of times.
key 105149568 appeared 0.27322% of times.
key 22787998 appeared 0.09107% of times.
key 162586493 appeared 0.09107% of times.
key 30041863 appeared 0.09107% of times.
key 9701977 appeared 0.09107% of times.
key 154101728 appeared 0.09107% of times.
key 183596064 appeared 0.09107% of times.
key 26428226 appeared 0.09107% of times.
key 33506092 appeared 0.09107% of times.
key 175187109 appeared 2.36794% of times.
key 25354074 appeared 1.54827% of times.
key 243912784 appeared 0.09107% of times.
key 165628676 appeared 0.09107% of times.
key 107138233 appeared 3.00546% of times.
key 30546700 appeared 0.09107% of times.
key 30041876 appeared 0.09107% of times.
key 242577557 appeared 0.27322% of times.
key 154101711 appeared 0.09107% of times.
key 240364722 appeared 0.09107% of times.
key 121362904 appeared 0.09107% of times.
key 240364727 appeared 0.09107% of times.
key 229781334 appeared 0.09107% of times.
key 240311481 appeared 0.09107% of times.
key 229774174 appeared 0.09107% of times.
key 34362595 appeared 0.09107% of times.
key 167457556 appeared 0.09107% of times.
key 47707175 appeared 0.09107% of times.
key 26288992 appeared 0.09107% of times.
key 42725497 appeared 0.09107% of times.
key 154101724 appeared 0.09107% of times.
key 240329899 appeared 0.09107% of times.
key 154101717 appeared 0.09107% of times.
key 87339983 appeared 0.18215% of times.
key 154101716 appeared 0.09107% of times.
key 229125973 appeared 0.09107% of times.
key 87339977 appeared 0.09107% of times.
key 154101714 appeared 0.09107% of times.
key 136965847 appeared 0.09107% of times.
key 30041908 appeared 0.09107% of times.
key 240364716 appeared 0.09107% of times.
key 190441560 appeared 0.09107% of times.
key 167649023 appeared 0.09107% of times.
key 159794820 appeared 0.09107% of times.
key 242787708 appeared 0.09107% of times.
key 143599496 appeared 0.27322% of times.
key 152617488 appeared 0.09107% of times.
key 150926327 appeared 0.09107% of times.
key 58642549 appeared 0.18215% of times.
key 120426534 appeared 0.09107% of times.
key 42426762 appeared 0.09107% of times.
key 33455857 appeared 0.09107% of times.
key 240367936 appeared 0.09107% of times.
key 29151912 appeared 0.09107% of times.
key 121399337 appeared 0.18215% of times.
key 219439624 appeared 0.09107% of times.
key 237944114 appeared 0.09107% of times.
key 170246459 appeared 0.09107% of times.
key 152436272 appeared 0.09107% of times.
key 165632761 appeared 0.09107% of times.
key 121649255 appeared 0.09107% of times.
key 173338995 appeared 0.54645% of times.
key 47519228 appeared 0.18215% of times.
key 154117638 appeared 0.09107% of times.
key 182727117 appeared 0.09107% of times.
key 128504963 appeared 0.09107% of times.
key 240813430 appeared 0.09107% of times.
key 33803567 appeared 0.09107% of times.
key 182727114 appeared 0.09107% of times.
key 154117633 appeared 0.09107% of times.
key 195255436 appeared 0.09107% of times.
key 173339003 appeared 0.09107% of times.
key 154117663 appeared 0.09107% of times.
key 150522826 appeared 0.09107% of times.
key 195255440 appeared 0.09107% of times.
key 127156384 appeared 0.18215% of times.
key 47502828 appeared 0.09107% of times.
key 33505990 appeared 0.09107% of times.
key 159524536 appeared 2.09472% of times.
key 154117652 appeared 0.09107% of times.
key 150552517 appeared 0.09107% of times.
key 121649276 appeared 0.09107% of times.
key 150522823 appeared 0.27322% of times.
key 165329637 appeared 0.09107% of times.
key 103143706 appeared 0.09107% of times.
key 220918379 appeared 0.09107% of times.
key 27031261 appeared 0.09107% of times.
key 169701721 appeared 0.09107% of times.
key 156346900 appeared 0.09107% of times.
key 26812127 appeared 0.09107% of times.
key 27031258 appeared 0.09107% of times.
key 47519135 appeared 0.09107% of times.
key 150522807 appeared 0.09107% of times.
key 156346910 appeared 0.09107% of times.
key 30802567 appeared 0.09107% of times.
key 170481019 appeared 0.09107% of times.
key 171862381 appeared 0.09107% of times.
key 47519104 appeared 0.09107% of times.
key 170768760 appeared 0.09107% of times.
key 237962613 appeared 0.09107% of times.
key 164928142 appeared 0.09107% of times.
key 9476046 appeared 0.09107% of times.
key 156346929 appeared 0.09107% of times.
key 164931252 appeared 0.09107% of times.
key 242729238 appeared 0.09107% of times.
key 182981002 appeared 0.09107% of times.
key 150522781 appeared 0.27322% of times.
key 156346935 appeared 0.09107% of times.
key 169678203 appeared 0.09107% of times.
key 156346934 appeared 0.3643% of times.
key 26812145 appeared 0.09107% of times.
key 26812147 appeared 0.45537% of times.
key 156346938 appeared 0.09107% of times.
key 169081214 appeared 0.09107% of times.
key 109497832 appeared 0.09107% of times.
key 199827591 appeared 0.09107% of times.
key 26812150 appeared 0.18215% of times.
key 84087404 appeared 0.09107% of times.
key 42655226 appeared 0.18215% of times.
key 169678188 appeared 0.09107% of times.
key 158029337 appeared 0.09107% of times.
key 42490362 appeared 0.09107% of times.
key 182981010 appeared 0.09107% of times.
key 42489330 appeared 0.09107% of times.
key 58648580 appeared 0.09107% of times.
key 26812130 appeared 0.27322% of times.
key 182981012 appeared 0.09107% of times.
key 169678236 appeared 0.09107% of times.
key 29422145 appeared 0.18215% of times.
key 237957546 appeared 0.09107% of times.
key 115584359 appeared 0.09107% of times.
key 59210767 appeared 1.82149% of times.
key 150550385 appeared 0.09107% of times.
key 169678228 appeared 0.09107% of times.
key 251615606 appeared 0.09107% of times.
key 51269764 appeared 0.09107% of times.
key 150594422 appeared 0.09107% of times.
key 121399468 appeared 0.09107% of times.
key 169678222 appeared 0.18215% of times.
key 227131933 appeared 1.18397% of times.
key 169678216 appeared 0.09107% of times.
key 162395704 appeared 0.18215% of times.
key 229610041 appeared 0.18215% of times.
key 84514463 appeared 0.18215% of times.
key 173345219 appeared 0.09107% of times.
key 105154003 appeared 0.91075% of times.
key 84514462 appeared 0.09107% of times.
key 105154013 appeared 0.09107% of times.
key 217986919 appeared 0.09107% of times.
key 30212692 appeared 0.27322% of times.
key 60065806 appeared 0.09107% of times.
key 105154008 appeared 0.09107% of times.
key 159791643 appeared 0.09107% of times.
key 105154020 appeared 0.3643% of times.
key 121100433 appeared 0.09107% of times.
key 152637118 appeared 0.09107% of times.
key 165169791 appeared 0.09107% of times.
key 156340985 appeared 0.09107% of times.
key 150550353 appeared 0.18215% of times.
key 170258831 appeared 0.09107% of times.
key 159783466 appeared 0.09107% of times.
key 42712358 appeared 0.09107% of times.
key 30887527 appeared 0.18215% of times.
key 105154037 appeared 0.91075% of times.
key 156340963 appeared 0.09107% of times.
key 42499387 appeared 0.09107% of times.
key 105154032 appeared 0.09107% of times.
key 170258833 appeared 0.09107% of times.
key 242346436 appeared 0.09107% of times.
key 127464493 appeared 0.09107% of times.
key 105154040 appeared 0.09107% of times.
key 237957522 appeared 0.27322% of times.
key 166498896 appeared 0.09107% of times.
key 199823445 appeared 0.09107% of times.
key 169678243 appeared 0.27322% of times.
key 150550329 appeared 0.09107% of times.
key 187814130 appeared 0.09107% of times.
key 238418422 appeared 0.18215% of times.
key 22788765 appeared 0.18215% of times.
key 182042896 appeared 0.3643% of times.
key 115714351 appeared 0.09107% of times.
key 33459765 appeared 0.18215% of times.
key 237573604 appeared 0.09107% of times.
key 170767843 appeared 0.27322% of times.
key 169095616 appeared 0.09107% of times.
key 30748163 appeared 0.09107% of times.
key 143599448 appeared 0.18215% of times.
key 276433830 appeared 0.09107% of times.
key 219958977 appeared 0.18215% of times.
key 237584841 appeared 0.09107% of times.
key 143599470 appeared 0.18215% of times.
key 47500597 appeared 0.09107% of times.
key 143599468 appeared 0.09107% of times.
key 143599467 appeared 0.09107% of times.
key 169123312 appeared 0.18215% of times.
key 143599466 appeared 0.09107% of times.
key 159794798 appeared 0.09107% of times.
key 169700849 appeared 0.27322% of times.
key 5169058 appeared 0.18215% of times.
key 158035590 appeared 0.09107% of times.
key 237180365 appeared 0.09107% of times.
key 169700850 appeared 0.27322% of times.
key 120495324 appeared 0.09107% of times.
key 169700846 appeared 0.09107% of times.
key 120495322 appeared 0.09107% of times.
key 159794800 appeared 0.18215% of times.
key 169700843 appeared 0.09107% of times.
key 155602608 appeared 0.09107% of times.
key 5169081 appeared 0.09107% of times.
key 143599479 appeared 6.19308% of times.
key 159794815 appeared 0.09107% of times.
key 169700836 appeared 0.09107% of times.
key 162395732 appeared 0.09107% of times.
key 230665798 appeared 2.36794% of times.
key 170767830 appeared 0.18215% of times.
key 169217517 appeared 0.09107% of times.
key 162395729 appeared 0.09107% of times.
key 186748124 appeared 0.09107% of times.
key 143599474 appeared 0.09107% of times.
